Symbol,Name,Country,Sector,Industry
AL,Air Lease Corporation Class A Common Stock,United States,Consumer Discretionary,Diversified Commercial Services
ALB,Albemarle Corporation Common Stock,United States,Industrials,Major Chemicals
ALC,Alcon Inc. Ordinary Shares,Switzerland,Health Care,Ophthalmic Goods
ALCC,AltC Acquisition Corp. Class A Common Stock,,Finance,Blank Checks
ALE,Allete Inc.,United States,Utilities,Power Generation
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,United States,Real Estate,Real Estate Investment Trusts
ALG,Alamo Group Inc. Common Stock,United States,Industrials,Industrial Machinery/Components
ALIT,Alight Inc. Class A Common Stock,,Consumer Discretionary,Business Services
ALK,Alaska Air Group Inc. Common Stock,United States,Consumer Discretionary,Air Freight/Delivery Services
ALL,Allstate Corporation (The) Common Stock,United States,Finance,Property-Casualty Insurers
ALLE,Allegion plc Ordinary Shares,United States,Consumer Discretionary,Diversified Commercial Services
ALLG,Allego N.V. Ordinary Share,Netherlands,Consumer Discretionary,Other Specialty Stores
ALLY,Ally Financial Inc. Common Stock,United States,Finance,Major Banks
ALSN,Allison Transmission Holdings Inc. Common Stock,United States,Consumer Discretionary,Auto Parts:O.E.M.
ALTG,Alta Equipment Group Inc. Class A Common Stock,,Industrials,Industrial Machinery/Components
ALV,Autoliv Inc. Common Stock,Sweden,Consumer Discretionary,Auto Parts:O.E.M.
ALX,Alexander's Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
AM,Antero Midstream Corporation Common Stock,United States,Utilities,Natural Gas Distribution
AMBC,Ambac Financial Group Inc. Common Stock,United States,Finance,Property-Casualty Insurers
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares,,Industrials,Containers/Packaging
AMC,AMC Entertainment Holdings Inc. Class A Common Stock,,Consumer Discretionary,Movies/Entertainment
AMCR,Amcor plc Ordinary Shares,,Consumer Discretionary,Miscellaneous manufacturing industries
AME,AMETEK Inc.,United States,Industrials,Industrial Machinery/Components
AMG,Affiliated Managers Group Inc. Common Stock,United States,Finance,Investment Managers
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,,Real Estate,Real Estate Investment Trusts
AMK,AssetMark Financial Holdings Inc. Common Stock,United States,Finance,Investment Managers
AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc,United States,Health Care,Assisted Living Services
AMP,Ameriprise Financial Inc. Common Stock,United States,Finance,Investment Managers
AMPS,Altus Power Inc. Class A Common Stock,,Utilities,Electric Utilities: Central
AMPX,Amprius Technologies Inc. Common Stock,,Miscellaneous,Industrial Machinery/Components
AMPY,Amplify Energy Corp. Common Stock,United States,Energy,Oil & Gas Production
AMR,Alpha Metallurgical Resources Inc. Common Stock,United States,Energy,Coal Mining
AMRC,Ameresco Inc. Class A Common Stock,United States,Consumer Discretionary,Engineering & Construction
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,,Health Care,Biotechnology: Pharmaceutical Preparations
AMT,American Tower Corporation (REIT) Common Stock,United States,Real Estate,Real Estate Investment Trusts
AMTD,AMTD IDEA Group American Depositary Shares each representing two Class A Ordinary Shares,,Finance,Finance: Consumer Services
AMWL,American Well Corporation Class A Common Stock,United States,Technology,Retail: Computer Software & Peripheral Equipment
AMX,America Movil S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares,Mexico,Telecommunications,Telecommunications Equipment
AN,AutoNation Inc. Common Stock,United States,Consumer Discretionary,Other Specialty Stores
ANET,Arista Networks Inc. Common Stock,,Technology,Computer peripheral equipment
ANF,Abercrombie & Fitch Company Common Stock,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ANVS,Annovis Bio Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AOD,abrdn Total Dynamic Dividend Fund Common Shares of Beneficial Interest,United States,Finance,Investment Managers
AOMR,Angel Oak Mortgage REIT Inc. Common Stock,,Real Estate,Real Estate Investment Trusts
AON,Aon plc Class A Ordinary Shares (Ireland),United States,Finance,Specialty Insurers
AORT,Artivion Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
AOS,A.O. Smith Corporation Common Stock,United States,Consumer Discretionary,Consumer Electronics/Appliances
AP,Ampco-Pittsburgh Corporation Common Stock,United States,Industrials,Fluid Controls
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,United States,Finance,Investment Managers
APCA,AP Acquisition Corp Class A Ordinary Shares,,Finance,Blank Checks
APD,Air Products and Chemicals Inc. Common Stock,United States,Industrials,Major Chemicals
APE,AMC Entertainment Holdings Inc. AMC Preferred Equity Units each constituting a depositary share representing a 1/100th interest in a share of Series A Convertible Participating Preferred Stock,,Consumer Discretionary,Movies/Entertainment
APG,APi Group Corporation Common Stock,,Consumer Discretionary,Engineering & Construction
APGB,Apollo Strategic Growth Capital II Class A Ordinary Shares,,Finance,Blank Checks
APH,Amphenol Corporation Common Stock,United States,Technology,Electrical Products
APLE,Apple Hospitality REIT Inc. Common Shares,United States,Real Estate,Real Estate Investment Trusts
APO,Apollo Global Management Inc. (New) Common Stock,,Finance,Investment Managers
APRN,Blue Apron Holdings Inc. Class A Common Stock,United States,Consumer Discretionary,Catalog/Specialty Distribution
APTV,Aptiv PLC Ordinary Shares,United Kingdom,Consumer Discretionary,Auto Parts:O.E.M.
AQN,Algonquin Power & Utilities Corp. Common Shares,,Utilities,Electric Utilities: Central
AQNA,Algonquin Power & Utilities Corp. 6.875% Fixed-to-Floating Rate Subordinated Notes Series 2018-A due October 17 2078,,Utilities,Electric Utilities: Central
AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079,,Utilities,Electric Utilities: Central
AQNU,Algonquin Power & Utilities Corp. Corporate Units,,Utilities,Electric Utilities: Central
AR,Antero Resources Corporation Common Stock,,Energy,Oil & Gas Production
ARC,ARC Document Solutions Inc. Common Stock,United States,Consumer Discretionary,Professional Services
ARCH,Arch Resources Inc. Class A Common Stock,United States,Energy,Coal Mining
ARCO,Arcos Dorados Holdings Inc. Class A Shares,Argentina,Consumer Discretionary,Restaurants
ARDC,Ares Dynamic Credit Allocation Fund Inc. Common Shares,United States,Finance,Investment Managers
ARE,Alexandria Real Estate Equities Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
ARES,Ares Management Corporation Class A Common Stock,,Finance,Investment Managers
ARGD,Argo Group International Holdings Ltd. 6.5% Senior Notes Due 2042,Bermuda,Finance,Specialty Insurers
ARGO,Argo Group International Holdings Ltd.,Bermuda,Finance,Specialty Insurers
ARI,Apollo Commercial Real Estate Finance Inc,United States,Real Estate,Real Estate Investment Trusts
ARIS,Aris Water Solutions Inc. Class A Common Stock,,Utilities,Water Supply
ARL,American Realty Investors Inc. Common Stock,United States,Real Estate,Building operators
ARLO,Arlo Technologies Inc. Common Stock,United States,Consumer Staples,Consumer Electronics/Appliances
ARMK,Aramark Common Stock,,Consumer Discretionary,Restaurants
ARNC,Arconic Corporation Common Stock ,,Industrials,Metal Fabrications
AROC,Archrock Inc. Common Stock,United States,Energy,Oil & Gas Production
ARR,ARMOUR Residential REIT Inc.,United States,Real Estate,Real Estate Investment Trusts
ARW,Arrow Electronics Inc. Common Stock,United States,Technology,Electronic Components
ASA,ASA  Gold and Precious Metals Limited,United States,Industrials,Precious Metals
ASAI,Sendas Distribuidora S A ADS,,Consumer Staples,Food Chains
ASAN,Asana Inc. Class A Common Stock,,Technology,Retail: Computer Software & Peripheral Equipment
ASB,Associated Banc-Corp Common Stock,United States,Finance,Major Banks
ASBA,Associated Banc-Corp 6.625% Fixed-Rate Reset Subordinated Notes due 2033,United States,Finance,Major Banks
ASC,Ardmore Shipping Corporation Common Stock,,Consumer Discretionary,Marine Transportation
ASG,Liberty All-Star Growth Fund Inc.,United States,Finance,Investment Managers
ASGI,abrdn Global Infrastructure Income Fund Common Shares of Beneficial Interest,,Finance,Investment Managers
ASGN,ASGN Incorporated Common Stock,United States,Consumer Discretionary,Professional Services
ASH,Ashland Inc. Common Stock,United States,Consumer Discretionary,Specialty Chemicals
ASIX,AdvanSix Inc. Common Stock ,United States,Industrials,Major Chemicals
ASPN,Aspen Aerogels Inc. Common Stock,United States,Consumer Discretionary,RETAIL: Building Materials
ASR,Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock,Mexico,Consumer Discretionary,Aerospace
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) ,,Technology,Semiconductors
ATEK,Athena Technology Acquisition Corp. II Class A Common Stock,,Finance,Blank Checks
ATEN,A10 Networks Inc. Common Stock,,Technology,EDP Services
ATGE,Adtalem Global Education Inc. Common Stock,United States,Consumer Discretionary,Other Consumer Services
ATHM,Autohome Inc. American Depositary Shares each representing four class A ordinary shares.,,Technology,EDP Services
ATI,ATI Inc. Common Stock,United States,Industrials,Steel/Iron Ore
ATIP,ATI Physical Therapy Inc. Class A Common Stock,,Health Care,Managed Health Care
ATKR,Atkore Inc. Common Stock,United States,Miscellaneous,Industrial Machinery/Components
ATMU,Atmus Filtration Technologies Inc. Common Stock,,Consumer Discretionary,Auto Parts:O.E.M.
ATO,Atmos Energy Corporation Common Stock,United States,Utilities,Oil/Gas Transmission
ATR,AptarGroup Inc. Common Stock,United States,Industrials,Plastic Products
ATS,ATS Corporation Common Shares,,,
ATTO,Atento S.A. Ordinary Shares,,Telecommunications,Telecommunications Equipment
ATUS,Altice USA Inc. Class A Common Stock,United States,Telecommunications,Telecommunications Equipment
AU,AngloGold Ashanti Limited Common Stock,South Africa,Basic Materials,Precious Metals
AUB,Atlantic Union Bankshares Corporation Common Stock,United States,Finance,Major Banks
AVA,Avista Corporation Common Stock,United States,Utilities,Power Generation
AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),,Finance,Commercial Banks
AVB,AvalonBay Communities Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value),United States,Industrials,Agricultural Chemicals
AVK,Advent Convertible and Income Fund,United States,Finance,Trusts Except Educational Religious and Charitable
AVNS,Avanos Medical Inc. Common Stock,United States,Health Care,Industrial Specialties
AVNT,Avient Corporation Common Stock,United States,Industrials,Major Chemicals
AVTR,Avantor Inc. Common Stock,,Industrials,Biotechnology: Laboratory Analytical Instruments
AVY,Avery Dennison Corporation Common Stock,United States,Consumer Discretionary,Containers/Packaging
AWF,Alliancebernstein Global High Income Fund,United States,Finance,Trusts Except Educational Religious and Charitable
AWI,Armstrong World Industries Inc Common Stock,United States,Industrials,Plastic Products
AWK,American Water Works Company Inc. Common Stock,United States,Utilities,Water Supply
AWP,abrdn Global Premier Properties Fund Common Shares of Beneficial Interest,United States,Finance,Trusts Except Educational Religious and Charitable
AWR,American States Water Company Common Stock,United States,Utilities,Water Supply
AX,Axos Financial Inc. Common Stock,United States,Finance,Savings Institutions
AXL,American Axle & Manufacturing Holdings Inc. Common Stock,United States,Consumer Discretionary,Auto Parts:O.E.M.
AXP,American Express Company Common Stock,United States,Finance,Finance: Consumer Services
AXR,AMREP Corporation Common Stock,United States,Real Estate,Homebuilding
AXS,Axis Capital Holdings Limited Common Stock,Bermuda,Finance,Property-Casualty Insurers
AXTA,Axalta Coating Systems Ltd. Common Shares,United States,Consumer Discretionary,Paints/Coatings
AYI,Acuity Brands Inc. ,United States,Consumer Discretionary,Building Products
AYX,Alteryx Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
AZEK,The AZEK Company Inc. Class A Common Stock,United States,Industrials,Plastic Products
AZO,AutoZone Inc. Common Stock,United States,,
AZRE,Azure Power Global Limited Equity Shares,India,Utilities,Electric Utilities: Central
AZUL,Azul S.A. American Depositary Shares (each representing three preferred shares),Brazil,Consumer Discretionary,Air Freight/Delivery Services
AZZ,AZZ Inc.,United States,Industrials,Industrial Specialties
B,Barnes Group Inc. Common Stock,United States,Industrials,Metal Fabrications
BA,Boeing Company (The) Common Stock,United States,Industrials,Aerospace
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,China,Consumer Discretionary,Business Services
BAC,Bank of America Corporation Common Stock,United States,Finance,Major Banks
BAH,Booz Allen Hamilton Holding Corporation Common Stock,United States,Consumer Discretionary,Professional Services
BAK,Braskem SA ADR,Brazil,Industrials,Major Chemicals
BALL,Ball Corporation Common Stock,United States,Industrials,Containers/Packaging
BALY,Bally's Corporation Common Stock,,Consumer Discretionary,Hotels/Resorts
BAM,Brookfield Asset Management Inc Class A Limited Voting Shares,,Consumer Discretionary,Other Consumer Services
BANC,Banc of California Inc. Common Stock,United States,Finance,Major Banks
BAP,Credicorp Ltd. Common Stock,Peru,Finance,Commercial Banks
BARK,BARK Inc. Class A Common Stock,,Consumer Discretionary,Department/Specialty Retail Stores
BAX,Baxter International Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
BB,BlackBerry Limited Common Stock,Canada,,
BBAI,BigBear.ai Inc. Common Stock,,Technology,EDP Services
BBAR,Banco BBVA Argentina S.A. ADS,Argentina,Finance,Commercial Banks
BBD,Banco Bradesco Sa American Depositary Shares,Brazil,Finance,Major Banks
BBDC,Barings BDC Inc. Common Stock,United States,Finance,Diversified Financial Services
BBDO,Banco Bradesco Sa American Depositary Shares (each representing one Common Share),Brazil,Finance,Major Banks
BBLN,Babylon Holdings Limited Class A Ordinary Shares,United States,Health Care,Medical/Nursing Services
BBN,BlackRock Taxable Municipal Bond Trust Common Shares of Beneficial Interest,United States,Finance,Finance Companies
BBU,Brookfield Business Partners L.P. Limited Partnership Units ,,Consumer Discretionary,Engineering & Construction
BBUC,Brookfield Business Corporation Class A Exchangeable Subordinate Voting Shares,,,
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,Spain,Finance,Commercial Banks
BBW,Build-A-Bear Workshop Inc. Common Stock,United States,Consumer Discretionary,Recreational Games/Products/Toys
BBWI,Bath & Body Works Inc.,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores
BBY,Best Buy Co. Inc. Common Stock,United States,Consumer Discretionary,Consumer Electronics/Video Chains
BC,Brunswick Corporation Common Stock,United States,Industrials,Industrial Machinery/Components
BCAT,BlackRock Capital Allocation Term Trust Common Shares of Beneficial Interest,United States,Finance,Finance/Investors Services
BCC,Boise Cascade L.L.C. Common Stock,United States,Consumer Discretionary,RETAIL: Building Materials
BCE,BCE Inc. Common Stock,Canada,Telecommunications,Telecommunications Equipment
BCH,Banco De Chile Banco De Chile ADS,Chile,Finance,Commercial Banks
BCO,Brinks Company (The) Common Stock,United States,Consumer Discretionary,Oil Refining/Marketing
BCS,Barclays PLC Common Stock,United Kingdom,Finance,Commercial Banks
BCSF,Bain Capital Specialty Finance Inc. Common Stock,United States,Finance,Finance/Investors Services
BCX,BlackRock Resources Common Shares of Beneficial Interest,United States,Finance,Finance/Investors Services
BDC,Belden Inc Common Stock,United States,Industrials,Telecommunications Equipment
BDJ,Blackrock Enhanced Equity Dividend Trust,United States,Finance,Finance Companies
BDN,Brandywine Realty Trust Common Stock,United States,Real Estate,Real Estate Investment Trusts
BDX,Becton Dickinson and Company Common Stock,United States,Health Care,Medical/Dental Instruments
BE,Bloom Energy Corporation Class A Common Stock,,Energy,Industrial Machinery/Components
BEDU,Bright Scholar Education Holdings Limited American Depositary Shares each  representing four Class A Ordinary Share,China,Consumer Discretionary,Educational Services
BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares),China,Finance,Real Estate
BEN,Franklin Resources Inc. Common Stock,United States,Finance,Investment Managers
BEP,Brookfield Renewable Partners L.P. ,Canada,Utilities,Electric Utilities: Central
BEPC,Brookfield Renewable Corporation Class A Subordinate Voting Shares ,,Utilities,Electric Utilities: Central
BEPH,Brookfield BRP Holdings (Canada) Inc. 4.625% Perpetual Subordinated Notes,,,
BEPI,Brookfield BRP Holdings (Canada) Inc. 4.875% Perpetual Subordinated Notes,,,
BERY,Berry Global Group Inc. Common Stock,United States,Industrials,Plastic Products
BEST,BEST Inc. American Depositary Shares each representing twenty (20) Class A Ordinary Shares,Cayman Islands,,
BFAC,Battery Future Acquisition Corp. Class A Ordinary Shares,,Finance,Blank Checks
BFAM,Bright Horizons Family Solutions Inc. Common Stock,United States,Consumer Discretionary,Other Consumer Services
BFH,Bread Financial Holdings Inc. Common Stock,United States,Consumer Discretionary,Business Services
BFK,BlackRock Municipal Income Trust,United States,Finance,Finance Companies
BFLY,Butterfly Network Inc. Class A Common Stock,,Health Care,Medical Electronics
BFS,Saul Centers Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
BFZ,BlackRock California Municipal Income Trust,United States,Finance,Finance Companies
BG,Bunge Limited Bunge Limited,United States,Consumer Staples,Packaged Foods
BGB,Blackstone Strategic Credit 2027 Term Fund Common Shares of Beneficial Interest,,Finance,Trusts Except Educational Religious and Charitable
BGH,Barings Global Short Duration High Yield Fund Common Shares of Beneficial Interests,United States,Finance,Investment Managers
BGR,BlackRock Energy and Resources Trust,United States,Finance,Trusts Except Educational Religious and Charitable
BGS,B&G Foods Inc. B&G Foods Inc. Common Stock,United States,Consumer Staples,Packaged Foods
BGSF,BGSF Inc. Common Stock,United States,Consumer Discretionary,Professional Services
BGT,BlackRock Floating Rate Income Trust,United States,Finance,Trusts Except Educational Religious and Charitable
BGX,Blackstone Long Short Credit Income Fund Common Shares,,Finance,Trusts Except Educational Religious and Charitable
BGY,Blackrock Enhanced International Dividend Trust,United States,Finance,Trusts Except Educational Religious and Charitable
BH,Biglari Holdings Inc. Class B Common Stock,United States,Consumer Discretionary,Restaurants
BHC,Bausch Health Companies Inc. Common Stock,Canada,Health Care,Biotechnology: Pharmaceutical Preparations
BHE,Benchmark Electronics Inc. Common Stock,United States,Technology,Electrical Products
BHG,Bright Health Group Inc. Common Stock,,Health Care,Medical Specialities
BHIL,Benson Hill Inc. Common Stock,,Consumer Staples,Packaged Foods
BHK,Blackrock Core Bond Trust Blackrock Core Bond Trust,United States,Finance,Finance Companies
BHLB,Berkshire Hills Bancorp Inc. Common Stock,United States,Finance,Banks
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),Australia,Basic Materials,Metal Mining
BHR,Braemar Hotels & Resorts Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
BHV,BlackRock Virginia Municipal Bond Trust,United States,Finance,Finance/Investors Services
BHVN,Biohaven Ltd. Common Shares ,,Health Care,Biotechnology: Pharmaceutical Preparations
BIG,Big Lots Inc. Common Stock,United States,Consumer Discretionary,Department/Specialty Retail Stores
BIGZ,BlackRock Innovation and Growth Term Trust Common Shares of Beneficial Interest,,,
BILL,BILL Holdings Inc. Common Stock,,Technology,EDP Services
BIO,Bio-Rad Laboratories Inc. Class A Common Stock,United States,Industrials,Biotechnology: Laboratory Analytical Instruments
BIP,Brookfield Infrastructure Partners LP Limited Partnership Units,Bermuda,Utilities,Power Generation
BIPC,Brookfield Infrastructure Corporation ,,Consumer Discretionary,Marine Transportation
BIPH,Brookfield Infrastructure Corporation 5.000% Subordinated Notes due 2081,,,
BIPI,BIP Bermuda Holdings I Limited 5.125% Perpetual Subordinated Notes,,,
BIT,BlackRock Multi-Sector Income Trust Common Shares of Beneficial Interest,,Finance,Trusts Except Educational Religious and Charitable
BJ,BJ's Wholesale Club Holdings Inc. Common Stock,United States,Consumer Discretionary,Department/Specialty Retail Stores
BK,The Bank of New York Mellon Corporation Common Stock,United States,Finance,Major Banks
BKD,Brookdale Senior Living Inc. Common Stock,United States,Health Care,Hospital/Nursing Management
BKDT,Brookdale Senior Living Inc. 7.00% Tangible Equity Units,United States,Health Care,Hospital/Nursing Management
BKE,Buckle Inc. (The) Common Stock,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores
BKH,Black Hills Corporation Common Stock,United States,Utilities,Electric Utilities: Central
BKI,Black Knight Inc. Common Stock ,,Technology,EDP Services
BKKT,Bakkt Holdings Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
